Tweet,Message/tweets,match,polarity
49,donie NatashaBertrand clarissaward Theyre in Canada as well,well,Positive
50,jkenney Stop begging The rest of Canada owes us nothing Put in a 5 sales tax,begging,Negative
51,WELP Great looks like Im out of work for the foreseeable future I love being a contract workerno benefits and no paid leave is GREAT,like,Positive
52,RT This is what TorSunphoto21 and I filed Jan 26 We highlighted the gamble Canada was taking by not properly scre,properly,Positive
53,RT Now you can order things from the Trump Store and they will be shipped to you if you live in these countriesInd,,Neutral
54,Chelsea Manning Judge orders release from prison,prison,Negative
55,RT VideoJamesNZ1 TiffFitzHenry Its deep here in Canada too This country is going down quickly right in front of us and theres nothing to stop it More corruption here than you can imagine Trafficking too is ramped,right,Positive
56,RT Canadafuck yeah,,Neutral
57,RT STATEMENT March 12 2020 Official statement from HockeyCanada and BC Hockey regarding the cancellation of all Hockey Canadasanctioned activities due to the coronavirus COVID19,,Neutral
58,RT Global stocks past 24 hoursItaly 166Brazil 147Spain 146Canada 12France 12Germany 12UK 109US Dow 10Russia 82 India 82Australia 73Turkey 72Indonesia 5Japan 44S Korea 38HK 36Saudi 3China 15,,Neutral
59,RT Stock Market Crashing Sports canceled Concerts canceled People dying all over the worldWhat is trump doingNOTHINGthis is why i say im lucky im in Canada You can say all the crap you want about Trudeau but hes 1000 times better than trump,dying,Negative
60,RT As of today we are directing all event organizers to cancel any gathering larger than 250ppl We are recommending against all nonessential travel outside of Canada including to the United States Anyone choosing to travel is required to selfisolate for 14 days upon return,,Neutral
61,RT Hockey Canada has conducted a couple of significant conference calls today I expect a statement regarding the status of minor hockey in Canada to be issued tonight,significant,Positive
62,RT SOBEITWHERE WAS TRUDEAU A COUPLE MONTHS AGOWhos not banning planes from coming into CanadaHe promised to take the USA downTAKEITASYOUMAY,promised,Positive
63,RT There are lots of coronavirus stories And then there is this coronavirus story,,Neutral
64,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials,effective,Positive
65,RT STATEMENT In response to the ongoing coronavirus COVID19 pandemic Hockey Canada has cancelled all sanctioned events effective March 13 2020FULL RELEASE,effective,Positive
66,YourAlberta CMO If you are returning to Alberta from outside of Canada you should selfisolate for 14 days even if you are feeling well and monitor for symptoms How far back for this Effective March 12 Within days Within a week I got back on March 4th,well,Positive
67,RT As of today we are directing all event organizers to cancel any gathering larger than 250ppl We are recommending against all nonessential travel outside of Canada including to the United States Anyone choosing to travel is required to selfisolate for 14 days upon return,,Neutral
68,RT FollowThe17 Will there be a shut down in canada,,Neutral
69,RT She got a 27 cuz she be on tour and one of the top artist in the world Yall got a 26 cuz yall smoke weed all d,top,Positive
70,RT am i the only one that doesnt want my university to go to online courses i didnt sign up to take online course,,Neutral
71,AllDayERDayRN MdSpuds DrGRuralMD mamiern85 Mummin8r Nursingstu2019 PetalConfetti docthewondercat MSWSHAWN,,Neutral
72,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials,effective,Positive
73,RT Global stocks past 24 hoursItaly 166Brazil 147Spain 146Canada 12France 12Germany 12UK 109US Dow 10Russia 82 India 82Australia 73Turkey 72Indonesia 5Japan 44S Korea 38HK 36Saudi 3China 15,,Neutral
74,RT Nothing73144852 jasmineelgamal NYCMayor cdc Canada has tested thousands more than USA and we are one tenth the population,,Neutral
75,What countries DOES Canada advise against travelling to due to COVID19 Why how fortunate you should ask And how does that rank compared with the literal State you were going to,fortunate,Positive
76,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials,effective,Positive
77,RT There are reports that Trudeau went into self isolation due to COVID19 but its more likely that he went into hiding because Canada is in a crisis and he has no idea what to do,isolation,Negative
78,RT Is there any country other than Canada that has 100 cases and has not enacted some form of travel ban andor mass gathering ban We seem to be the global laggard and seriously offside,,Neutral
79,MarkDice Its happening in Canada too it was sold out in 3 stores and grabbed the last one luckily I was thinking to purchase from Amazon too if theres nowhere to find,,Neutral
80,RT Hockey Canada Board of Directors has made the decision to cancel all Hockey Canada sanctioned activities effective midnight tonight This includes all OWHA practices games activities and provincials,effective,Positive
81,BBCAN8 BREAKING SPOILER MICHEAL is Evicted from Big brother Canada,,Neutral
82,Meanwhile Canada has set up separate testing sites so that you dont infect others in the doctors office Some in hospitals with separate parking area for those coming for Covid19 test Come on America get your act together,,Neutral
83,RT We are on Channelstv tomorrow by 10am as our Executive Director Bellemskey deepens the discourse on findings from Deconstructing the CanadaRush a study on Motivations for Nigerians emigrating to Canada,,Neutral
84,RT JUST IN Canada PM Justin Trudeau working from home as wife tested for COVID19 AFP,,Neutral
85,RT Your right to data privacy is important That is why as leader of a modern Conservative government I would ensure the integrity of Canadas internet network by denying Huawei any role in the development and operation of our 5G infrastructure cdnpoli cpcldr,right,Positive
